SubjectID	c_hap_f1.RT	c_hap_f2.RT	c_hap_f3.RT	c_hap_f4.RT	c_hap_f5.RT	c_hap_m1.RT	c_hap_m2.RT	c_hap_m3.RT	c_hap_m4.RT	c_hap_m5.RT	c_sad_f1.RT	c_sad_f2.RT	c_sad_f3.RT	c_sad_f4.RT	c_sad_f5.RT	c_sad_m1.RT	c_sad_m2.RT	c_sad_m3.RT	c_sad_m4.RT	c_sad_m5.RT	i_hap_f1.RT	i_hap_f2.RT	i_hap_f3.RT	i_hap_f4.RT	i_hap_f5.RT	i_hap_m1.RT	i_hap_m2.RT	i_hap_m3.RT	i_hap_m4.RT	i_hap_m5.RT	i_sad_f1.RT	i_sad_f2.RT	i_sad_f3.RT	i_sad_f4.RT	i_sad_f5.RT	i_sad_m1.RT	i_sad_m2.RT	i_sad_m3.RT	i_sad_m4.RT	i_sad_m5.RT	c_hap_f1.ACC	c_hap_f2.ACC	c_hap_f3.ACC	c_hap_f4.ACC	c_hap_f5.ACC	c_hap_m1.ACC	c_hap_m2.ACC	c_hap_m3.ACC	c_hap_m4.ACC	c_hap_m5.ACC	c_sad_f1.ACC	c_sad_f2.ACC	c_sad_f3.ACC	c_sad_f4.ACC	c_sad_f5.ACC	c_sad_m1.ACC	c_sad_m2.ACC	c_sad_m3.ACC	c_sad_m4.ACC	c_sad_m5.ACC	i_hap_f1.ACC	i_hap_f2.ACC	i_hap_f3.ACC	i_hap_f4.ACC	i_hap_f5.ACC	i_hap_m1.ACC	i_hap_m2.ACC	i_hap_m3.ACC	i_hap_m4.ACC	i_hap_m5.ACC	i_sad_f1.ACC	i_sad_f2.ACC	i_sad_f3.ACC	i_sad_f4.ACC	i_sad_f5.ACC	i_sad_m1.ACC	i_sad_m2.ACC	i_sad_m3.ACC	i_sad_m4.ACC	i_sad_m5.ACC	c_hap_f1.nTrial	c_hap_f2.nTrial	c_hap_f3.nTrial	c_hap_f4.nTrial	c_hap_f5.nTrial	c_hap_m1.nTrial	c_hap_m2.nTrial	c_hap_m3.nTrial	c_hap_m4.nTrial	c_hap_m5.nTrial	c_sad_f1.nTrial	c_sad_f2.nTrial	c_sad_f3.nTrial	c_sad_f4.nTrial	c_sad_f5.nTrial	c_sad_m1.nTrial	c_sad_m2.nTrial	c_sad_m3.nTrial	c_sad_m4.nTrial	c_sad_m5.nTrial	i_hap_f1.nTrial	i_hap_f2.nTrial	i_hap_f3.nTrial	i_hap_f4.nTrial	i_hap_f5.nTrial	i_hap_m1.nTrial	i_hap_m2.nTrial	i_hap_m3.nTrial	i_hap_m4.nTrial	i_hap_m5.nTrial	i_sad_f1.nTrial	i_sad_f2.nTrial	i_sad_f3.nTrial	i_sad_f4.nTrial	i_sad_f5.nTrial	i_sad_m1.nTrial	i_sad_m2.nTrial	i_sad_m3.nTrial	i_sad_m4.nTrial	i_sad_m5.nTrial	
12054	655	660.67	557.5	660	581.33	649	673	690.33	782	596	641.33	603.5	530.5	640.5	646.67	649.33	650.67	502	528	557.67	729	560.5	629.75	590	580	656.67	709.5	644	702	688	705.5	607.33	589.33	537	634	566	576	585	544	606.33	1	1	0.66667	1	1	0.66667	0.66667	1	0.33333	0.33333	1	0.66667	0.66667	0.66667	1	1	1	1	1	1	1	0.66667	1	1	0.33333	1	0.66667	1	0.66667	0.66667	0.66667	1	1	0.66667	1	0.66667	0.66667	0.66667	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12057	436	465	415	375	433	456	544	485	393.5	440.5	556	587.5	543.67	602.5	658	591	621.67	494	561.33	532.33	482	451.67	494.25	434.33	527.5	442.67	690.5	459	441	446.67	585	543.5	557	NaN	676.5	633.5	526	587	539.33	446	1	1	0.66667	1	1	0.33333	1	1	0.66667	0.66667	0.33333	0.66667	1	0.66667	0.66667	1	1	1	1	1	1	1	1	1	0.66667	1	0.66667	1	0.66667	1	0.66667	0.66667	1	0	0.66667	0.66667	0.66667	0.66667	1	0.33333	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12069	519.33	513	570.5	546.67	605	491.33	504	565.5	531.33	583	539.33	552.67	493.33	604.67	588.33	641	559.67	474.33	582.33	477.5	645.33	567.67	637.25	614	551	530.33	637.67	602.67	582	641	680.5	542	648.33	613	701	643	564.33	636.5	576	629.5	1	1	0.66667	1	1	1	1	0.66667	1	0.66667	1	1	1	1	1	1	1	1	1	0.66667	1	1	1	1	0.66667	1	1	1	1	0.33333	0.66667	1	1	0.33333	1	0.66667	1	0.66667	1	0.66667	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12074	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	659	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	685	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12075	690.5	725.33	663	596.33	615	553	536	569.33	728	497	695.5	681.5	517.33	720	531	615.5	557.67	514.67	544.67	530.67	660	599.33	527.67	596.67	609.5	726	643	509	585.67	508.5	792	567	654.67	577	578.67	579	604	531.67	498.67	590.33	0.66667	1	0.66667	1	1	0.66667	0.66667	1	1	0.33333	0.66667	0.66667	1	1	1	0.66667	1	1	1	1	1	1	0.75	1	0.66667	0.66667	0.66667	1	1	0.66667	0.33333	0.66667	1	1	1	0.66667	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12081	485.33	473	477.5	535.33	467.5	610	540.67	565.5	552	528	557.33	512	532.33	600.67	535	574	598	538	529	552.33	484	498	489	539.67	436	465.67	607	416	481	597.33	529.33	507	495.5	636	578.5	641.67	515.33	589.67	566.5	650.33	1	1	0.66667	1	0.66667	1	1	0.66667	1	0.66667	1	1	1	1	0.66667	0.66667	0.66667	1	1	1	1	1	1	1	0.33333	1	0.66667	1	1	1	1	1	0.66667	0.66667	0.66667	1	1	1	0.66667	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12086	486	522.33	424	479.67	527	443	534	510.33	499	565	546.67	697.5	519	537.5	614	606	613.67	500.33	499.67	538.33	423.33	506.33	508	495	479	508.67	468	591	452.67	483.5	611	630.5	586	672	627.5	591	553.33	568	594.67	483.33	0.66667	1	0.66667	1	1	0.66667	0.66667	1	1	0.66667	1	0.66667	1	0.66667	1	0.66667	1	1	1	1	1	1	1	1	0.66667	1	0.33333	1	1	0.66667	0.66667	0.66667	1	0.33333	0.66667	0.33333	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12087	493.67	451.67	436	451.67	506	482.67	461	474	492	471	699	695	440	576	688.67	500.33	610	646.33	574	435.67	539	453.67	585	448.67	482	531.5	594	564.33	514.67	566	626	618	570.33	600	667	536	548	511	529.33	629	1	1	0.66667	1	1	1	1	1	1	0.66667	0.33333	0.66667	0.66667	0.66667	1	1	1	1	1	1	1	1	1	1	0.33333	0.66667	0.66667	1	1	1	0.33333	1	1	0.33333	0.66667	0.66667	1	1	1	0.66667	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12088	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	560	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12089	489.5	590	541	516.67	567.67	440.5	566	535.33	496.67	591.5	642.33	572	552.67	821.67	619.67	798	519.67	726.5	612	665.67	564	739	617.25	621.67	443.5	609	766	601.33	612.67	676.33	765.33	761.33	557	681	512	812	499.5	707	538.33	653	0.66667	1	0.66667	1	1	0.66667	1	1	1	0.66667	1	0.66667	1	1	1	1	1	0.66667	1	1	0.66667	0.33333	1	1	0.66667	0.66667	1	1	1	1	1	1	1	0.66667	0.33333	0.66667	0.66667	1	1	0.66667	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12101	404	456	349	484	389.33	450	428.67	476.67	400.33	419	478	541.33	442.67	540.5	512	432	515.33	503	463.67	467.33	513.67	551	438.25	465.67	411.5	374.33	310.5	359.5	578.5	510	530.67	412	506.67	492.33	421.67	480.33	529	497.67	509.33	417	1	1	0.66667	1	1	1	1	1	1	0.66667	1	1	1	0.66667	0.66667	1	1	1	1	1	1	1	1	1	0.66667	1	0.66667	0.66667	0.66667	1	1	0.66667	1	1	1	1	0.33333	1	1	0.66667	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12130	427.33	552	488.5	489.33	479.67	468.67	548	466.33	484.33	494	473	473.33	521	585.33	534.67	549.67	515.33	540.33	504	469.67	440.67	498.33	459.75	482.33	493	582.67	499.5	500.5	497.67	551	592	458.33	519	515	524.5	582	525	520	479	505.33	1	1	0.66667	1	1	1	0.66667	1	1	0.33333	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.66667	1	0.66667	0.66667	1	1	0.66667	1	1	1	0.66667	0.66667	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12131	460	425.33	448	430.67	425	422.5	461.33	441	385.67	427.5	NaN	479.33	423.67	NaN	464	405.67	456	420	458.67	431.67	395.33	421	473	408	490.5	438	518	425.67	433	502	551.5	470	500	419	477	462.67	439.33	462	500	438	1	1	0.66667	1	1	0.66667	1	1	1	0.66667	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0.66667	1	0.66667	1	1	1	0.66667	0.66667	0.66667	0.33333	1	1	1	0.66667	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12134	0	0	NaN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
12135	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	404	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	545	NaN	406	NaN	NaN	NaN	NaN	508	NaN	NaN	NaN	NaN	NaN	456	NaN	NaN	0	0	0	0	0	0	0	0	0	0.33333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.33333	0	0.33333	0	0	0	0	0.33333	0	0	0	0	0	0.33333	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12136	618.67	665	595	567.67	590	548	649.33	628	596	650	729	689.33	654.33	739.33	652.33	657.67	606	687.67	605.67	627.33	561.67	550	558	592	710	615.67	710.67	622	682.33	542	795	614.67	652.67	533.5	616.5	682	558.5	696	674.33	639.5	1	1	0.66667	1	1	0.66667	1	1	1	0.66667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.33333	1	1	1	1	0.66667	0.33333	1	1	0.66667	0.66667	0.66667	0.66667	0.66667	1	0.66667	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12137	620	641.67	648.5	525	527.67	485.67	475.5	538	445.33	558.5	579.67	552.33	505	573.67	544	455.5	535	512	481.33	572.67	604	581.67	526.5	414.33	598	576.33	525	521	614.33	651.67	558.5	664.33	503.33	565	584.33	672.5	589	563.33	541.67	567.67	1	1	0.66667	1	1	1	0.66667	1	1	0.66667	1	1	1	1	1	0.66667	1	1	1	1	0.33333	1	1	1	0.66667	1	1	1	1	1	0.66667	1	1	1	1	0.66667	1	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
12138	617	489	581	678	577.67	566	768	631.33	642	642	635.67	546	718	840.5	652	698	567.67	575.5	614	594.5	643	713.33	743	481	574.5	745	813.5	774	571	691	522	502	550	707	662	506.33	502.67	546.5	571	493	1	0.33333	0.66667	1	1	1	0.66667	1	0.66667	0.66667	1	1	1	0.66667	1	1	1	0.66667	1	0.66667	0.66667	1	0.75	0.66667	0.66667	0.33333	0.66667	0.33333	0.66667	0.66667	0.33333	1	1	0.33333	1	1	1	0.66667	0.66667	0.33333	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
